"experiment_id"	"Harvest.Date"	"Run"	"Plate"	"Column"	"Row"	"species"	"normalized_OD"	"qpcr_4plex_Cy5.356."	"qpcr_3plex_TR.360."	"qpcr_3plex_FAM.361."	"qpcr_4plex_FAM.492."	"qpcr_3plex_HEX.500."	"qpcr_4plex_TR.502."	"qpcr_4plex_HEX.519."	"nmr_row"	"nmr_column"	"nmr_rack"	"nmr_position"	"unknown1"	"unknown2"	"unknown3"	"Butyrate"	"Isovalerate"	"Leucine"	"Valine"	"Isoleucine"	"Propionate"	"unknown4"	"Ethanol"	"Lactate"	"Isocaproate"	"unknown5"	"Alanine"	"unknown6"	"Acetate"	"unknown7"	"unknown8"	"Methionine"	"unknown9"	"Glutamate"	"Isobutyrate"	"Succinate"	"2-Oxoisocaproate"	"Aspartate"	"unknown10"	"Asparagine"	"Lysine"	"Choline"	"Proline"	"Cystine"	"unknown11"	"Glycine"	"Glycerol"	"unknown12"	"unknown13"	"unknown14"	"Betaine"	"Serine"	"Isopropanol"	"Pyroglutamate"	"Threonine"	"Trehalose"	"Lactose"	"unknown15"	"unknown16"	"unknown17"	"unknown18"	"Uracil"	"Uridine"	"unknown19"	"unknown20"	"Cytosine"	"unknown21"	"Cytidine"	"Adenosine"	"Inosine"	"unknown22"	"unknown23"	"unknown24"	"unknown25"	"Urocanate"	"Fumarate"	"Tyramine"	"Tyrosine"	"Histidine"	"unknown26"	"Tryptophan"	"Phenylalanine"	"unknown27"	"unknown28"	"unknown29"	"unknown30"	"unknown31"	"UMP"	"Hypoxanthine"	"unknown32"	"Adenine"	"unknown33"	"unknown34"	"unknown35"	"Formate"	"AMP"	"Nicotinate"	"Nicotinamide"
"164A"	"1/10/2017"	1	6	4	"A"	"492,502"	0.098166665	NA	NA	1.75057e-05	4.364941697	NA	0.100691053	1.41414e-05	"A"	1	1	"1A1"	0.013016	0.007757	1.3598	2.6591	2.1155	6.2409	2.8276	1.7411	0.15502	0.02583	1.0288	1.0668	0.1147	0.23368	2.9875	1.5379	0.87729	1.7966	0.38484	0.78445	0.10977	0.76652	0.11504	1.032	0.12236	0.62631	0.13129	0.5833	2.4018	0.17149	0.46546	0.16181	0.18348	0.44416	0.15874	0.1451	0.84174	0.15698	0.36436	0.39999	0.16047	1.8437	1.2603	0.2964	0.0045081	0.00078989	0.00046202	0.0014611	0.0018431	0.036377	0.0065989	0.0081246	0.01298	0.0018896	0.0029925	0.0050846	0.017654	0.0016849	0.00060953	0.0010325	0.00080602	0.000381	0.00070391	0.00035075	0.32785	0.31193	0.11655	0.32942	0.17061	0.97624	0.036162	0.01679	0.019485	0.014873	0.024964	0.036015	0.014135	0.010405	0.06486	0.0051103	0.0066836	0.0026839	0.013534	0.0011227	0.0070573	0.002967
"224A"	"1/11/2017"	2	2	4	"A"	"356,360"	0.186158347	3.624363385	0.062893842	NA	NA	NA	NA	7.03758e-06	"A"	2	1	"1A2"	0.01346	0.0080641	2.3695	2.4771	5.93	3.477	1.4464	0.94836	1.4085	0.027233	0.95513	0.96926	0.19849	0.2135	1.1898	1.4008	1.5376	3.2195	0.41462	0.86446	0.11774	0.86329	0.18164	1.1693	0.12676	0.64592	0.13849	0.60953	2.6085	0.14463	0.46522	0.081635	0.040359	0.53282	0.16062	0.084274	0.5344	0.1395	0.38223	0.44541	0.17421	1.7803	1.088	0.0092512	0.01927	0.0014601	0.0051295	0.002459	0.0049675	0.015129	0.014284	0.0094145	0.013462	0.003122	0.0046042	0.0053954	0.014182	0.0015565	0.005804	0.0013349	0.0053483	0.00193	0.00066472	0.00084109	0.38057	0.30045	0.16862	0.35618	0.18086	1.0508	0.038046	0.014343	0.019486	0.01373	0.029596	0.042837	0.033622	0.0098037	0.031086	0.0070561	0.017199	0.0034222	0.019196	0.0063202	0.0091578	0.0025595
"273A"	"1/11/2017"	2	7	3	"A"	"500,519"	0.286358345	6.71773e-06	NA	NA	NA	0.209669354	NA	71.27864233	"A"	3	1	"1A3"	0.008356	0.010755	0.9472	1.0488	1.7539	5.775	3.4774	2.1264	1.247	0.04559	0.74872	1.05	0.090734	0.25316	3.8798	0.55304	2.8217	1.9671	0.47702	0.99469	0.098016	1.05	0.095862	1.6071	0.1116	0.30991	0.10234	0.42734	2.5921	0.24258	1.2489	0.12227	0.033731	0.42097	0.17476	0.0531	0.78101	0.12998	0.30762	0.57484	0.13045	1.4072	1.0372	0.0053094	0.0082238	0.0036863	0.0024279	0.0047913	0.0061851	0.029149	0.019156	0.0049581	0.0049074	0.0019377	0.0021335	0.0040297	0.028302	0.0045742	0.0026055	0.0034335	0.0011818	0.0050032	0.0029473	0.002078	0.45806	0.1772	0.14525	0.26613	0.17198	1.1473	0.032337	0.015141	0.018351	0.01936	0.012999	0.029111	0.0059288	0.011126	0.034464	0.0070227	0.0055306	0.0031701	0.11483	0.0014607	0.0061931	0.0053907
"233A"	"1/11/2017"	2	3	3	"A"	"356,500"	0.18365832	2.778330867	NA	NA	NA	0.097639371	NA	1.35226e-05	"A"	4	1	"1A4"	0.013343	0.0093772	2.2846	2.4911	5.0458	4.1266	1.6753	0.86038	1.301	0.024709	0.98694	0.3495	0.19316	0.20903	1.0968	1.3251	1.6867	2.86	0.41001	0.78332	0.11767	0.79677	0.17365	1.0793	0.13317	0.66448	0.13974	0.5996	2.4778	0.15602	0.4523	0.090538	0.040895	0.4325	0.17606	0.091892	0.59797	0.15446	0.38067	0.47834	0.16423	1.9702	1.1697	0.029189	0.022481	0.0025467	0.0023342	0.0092085	0.0092186	0.02144	0.017741	0.0066989	0.0059909	0.0022334	0.0025332	0.0066554	0.021652	0.007098	0.0031865	0.008181	0.0021675	0.0099295	0.0028676	0.00012446	0.32326	0.3487	0.11324	0.35562	0.19178	1.0011	0.03962	0.014613	0.03679	0.021823	0.025734	0.040052	0.034011	0.017737	0.011228	0.015492	0.0093342	0.0044159	0.021951	0.00093134	0.0087693	0.0021983
"144A"	"1/10/2017"	1	4	4	"A"	"360,500"	0.012066668	NA	1.163136009	1.61059e-05	2.48485e-05	0.050673768	NA	NA	"A"	5	1	"1A5"	0.010094	0.0073171	1.2707	1.6015	1.6064	6.2169	2.82	1.9234	0.16069	0.027197	0.94819	1.9703	0.10596	0.24131	3.1215	0.63947	1.013	1.7338	0.37894	0.83522	0.10185	0.79238	0.10411	0.97035	0.11787	0.60997	0.12928	0.57874	2.4825	0.16159	0.49047	0.1608	0.18825	0.50176	0.16172	0.15139	0.87812	0.21902	0.36577	0.70894	0.1467	1.6516	1.3257	0.29988	0.018653	0.0014398	0.0057973	0.0015082	0.0037031	0.020044	0.013622	0.0093948	0.012967	0.0027234	0.0053554	0.0050559	0.014386	0.0017159	0.0056671	0.00096953	0.0070799	0.0016057	0.001098	0.0013794	0.37272	0.27706	0.15363	0.33566	0.16986	1.009	0.038256	0.023134	0.017864	0.015415	0.029867	0.041652	0.0092754	0.009466	0.051925	0.0060829	0.015608	0.0029379	0.020428	0.008249	0.0080876	0.0027267
"124A"	"1/10/2017"	1	2	4	"A"	"356,360"	0.190466663	2.501571863	0.162041455	NA	2.32331e-05	0.000516044	1.48214e-05	0.000577012	"A"	6	1	"1A6"	0.013147	0.0084215	2.2826	2.3271	4.9675	4.0162	1.5662	0.94974	1.3368	0.026447	0.93121	0.9455	0.19043	0.20945	1.1611	1.2896	1.633	2.8674	0.40343	0.838	0.11536	0.8386	0.17063	1.1252	0.124	0.62951	0.13511	0.59586	2.5381	0.14282	0.4618	0.086831	0.039369	0.51554	0.17184	0.083923	0.59496	0.13619	0.37462	0.42807	0.16008	1.7354	1.0584	0.010013	0.019016	0.0017377	0.0046486	0.0020654	0.0041158	0.01482	0.014178	0.0092296	0.01255	0.002829	0.0044377	0.0046054	0.013754	0.0018185	0.0063099	0.0010406	0.0043161	0.0015786	0.00086477	0.00047621	0.36792	0.2952	0.16375	0.34719	0.17611	1.0226	0.03656	0.01419	0.01867	0.013078	0.028943	0.041821	0.029585	0.0091907	0.032068	0.0066909	0.016725	0.0030432	0.018072	0.0052731	0.0084052	0.0028128
"243A"	"1/11/2017"	2	4	3	"A"	"360,492"	0.056758332	NA	0.431641813	NA	1.56	NA	NA	NA	"A"	7	1	"1A7"	0.013284	0.0081088	1.3437	1.9836	2.284	6.519	3.0284	2.0071	0.16746	0.028819	1.0055	1.3315	0.11141	0.25156	3.3492	1.5045	0.92474	1.8441	0.3987	0.88131	0.10598	0.82956	0.1073	1.0945	0.1232	0.64083	0.13752	0.60392	2.5922	0.16649	0.50656	0.16372	0.19212	0.53904	0.15763	0.15035	0.90096	0.15311	0.37295	0.3902	0.14466	1.7688	1.2961	0.30349	0.0060582	0.0012048	0.0050005	0.0013531	0.0036831	0.055693	0.0040387	0.0089672	0.015113	0.0016809	0.0023604	0.0037624	0.0186	0.0012506	0.00016203	0.00060165	0.00077029	0.0012369	0.00048299	0.00045461	0.38693	0.2888	0.15982	0.34943	0.17346	1.0546	0.04101	0.016441	0.018616	0.013676	0.023918	0.033026	0.0096983	0.010603	0.073735	0.005553	0.007191	0.0028486	0.015478	0.0012786	0.0076921	0.0014978
"151A"	"1/10/2017"	1	5	1	"A"	"360,502"	0.010466671	NA	1.832647774	NA	NA	NA	0.060980451	NA	"A"	8	1	"1A8"	0.01018	0.0078224	1.3027	1.6299	1.5081	6.4577	2.9678	2.0435	0.1689	0.028927	0.92504	2.1301	0.10882	0.25247	3.3007	0.65267	1.0893	1.7995	0.393	0.88212	0.10754	0.82881	0.10959	1.0332	0.12271	0.63993	0.13415	0.59814	2.5935	0.16954	0.51814	0.17048	0.19182	0.54043	0.23706	0.15956	0.91798	0.21646	0.37728	0.7453	0.16245	1.6963	1.3945	0.30252	0.018387	0.0019936	0.0066564	0.0021233	0.0040604	0.020553	0.013765	0.010448	0.015517	0.0033379	0.0061153	0.0049239	0.01647	0.0018587	0.0072287	0.0020985	0.008655	0.0017017	0.0004839	0.0013697	0.39819	0.28169	0.16817	0.34394	0.17695	1.0561	0.039482	0.024446	0.018455	0.015222	0.029275	0.044411	0.011672	0.0089216	0.049568	0.0065863	0.018665	0.0027498	0.02194	0.010135	0.0087212	0.0027906
"261A"	"1/11/2017"	2	6	1	"A"	"361,502"	0.029958326	NA	3.00646e-05	1.298253964	NA	NA	0.009320674	NA	"A"	9	1	"1A9"	0.011178	0.0079462	1.4069	1.77	1.7616	6.5046	2.8631	1.8569	0.17121	0.028869	1.0349	3.9034	0.12074	0.24719	3.03	0.76983	1.3159	1.8574	0.41804	0.82209	0.11264	0.81128	0.1205	1.0108	0.12896	0.67376	0.13546	0.61084	2.5213	0.18751	0.48731	0.17366	0.040725	0.43695	0.173	0.08251	0.88412	0.20013	0.36699	0.74858	0.17715	1.9503	1.4129	0.01271	0.009286	0.0018721	0.0020877	0.006869	0.0056396	0.037558	0.011544	0.0059054	0.0062206	0.0022429	0.0036307	0.006097	0.011134	0.0020326	0.0033222	0.0068689	0.0032286	0.0095231	0.00072704	0.00029657	0.35199	0.33821	0.13363	0.3474	0.19266	1.0334	0.033788	0.009835	0.033334	0.01449	0.027621	0.04674	0.0097002	0.010804	0.047165	0.015121	0.0095196	0.0048178	0.087756	0.0032763	0.009546	0.0027103
"244A"	"1/11/2017"	2	4	4	"A"	"360,500"	0.015058327	NA	0.863036682	NA	NA	1.168017379	NA	NA	"A"	10	1	"1A10"	0.010752	0.0077899	1.3154	1.5994	1.6921	6.4961	2.954	2.0438	0.164	0.028759	0.96593	2.0484	0.10955	0.25095	3.2632	0.7497	1.0445	1.8002	0.3931	0.8772	0.1075	0.81152	0.10326	1.0055	0.12364	0.63627	0.13733	0.59288	2.5918	0.17103	0.51258	0.17193	0.19586	0.53086	0.16713	0.15689	0.91643	0.22813	0.38547	0.72268	0.15447	1.7079	1.3792	0.31281	0.017373	0.0020266	0.0076033	0.0033472	0.0072627	0.02346	0.018382	0.010689	0.014266	0.0039203	0.002008	0.0051402	0.016779	0.001579	0.0061766	0.0014062	0.0015428	0.0020764	0.0067374	0.0015379	0.38974	0.28516	0.12687	0.35863	0.1776	1.0579	0.053895	0.02494	0.018408	0.01646	0.033586	0.033811	0.018092	0.010577	0.054562	0.0070447	0.017379	0.0030085	0.031804	0.0010175	0.0085874	0.0034351
